Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match	Match Score
protein coding gene	MGI:1100512	Mre11a	MRE11A homolog A, double strand break repair nuclease	9	14695971	14748421	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:101816	Msh2	mutS homolog 2	17	87979960	88031141	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:99926	mt-Atp8	mitochondrially encoded ATP synthase 8	MT	7766	7969	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:102501	mt-Cytb	mitochondrially encoded cytochrome b	MT	14145	15288	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:102500	mt-Nd2	mitochondrially encoded NADH dehydrogenase 2	MT	3914	4951	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:106639	Mthfr	methylenetetrahydrofolate reductase	4	148123534	148144008	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:894292	Mtr	5-methyltetrahydrofolate-homocysteine methyltransferase	13	12197598	12272999	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1921430	Muc5b	mucin 5, subtype B, tracheobronchial	7	141392807	141426821	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97250	Myc	myelocytomatosis oncogene	15	61857240	61862223	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97279	Nat1	N-acetyl transferase 1	8	67943620	67945183	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:109201	Nat2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	8	67947510	67955236	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:102537	Nat3	N-acetyltransferase 3	8	67976506	68001279	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97611	Plau	plasminogen activator, urokinase	14	20886728	20893453	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97621	Plk1	polo like kinase 1	7	121758662	121769096	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1914287	Pmf1	polyamine-modulated factor 1	3	88301450	88317638	GRCm39	-	Disease Ortholog	bladder carcinoma (subterm of urinary bladder cancer, with synonym bladder cancer)	3
protein coding gene	MGI:104288	Pms2	PMS1 homolog2, mismatch repair system component	5	143846782	143870786	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:109583	Pten	phosphatase and tensin homolog	19	32734977	32803560	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97798	Ptgs2	prostaglandin-endoperoxide synthase 2	1	149975851	149983978	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1928386	Rassf1	Ras association (RalGDS/AF-6) domain family member 1	9	107428752	107439460	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97874	Rb1	RB transcriptional corepressor 1	14	73430298	73563446	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:102672	Runx3	runt related transcription factor 3	4	134847963	134905301	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:97608	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1	5	137090358	137101122	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1345275	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1	74414354	74425221	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1354910	Socs1	suppressor of cytokine signaling 1	16	10601672	10603400	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:98366	Sox4	SRY (sex determining region Y)-box 4	13	29132902	29137682	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:102896	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	7	126272037	126275604	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1202709	Tert	telomerase reverse transcriptase	13	73775030	73797962	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:98728	Tgfbr1	transforming growth factor, beta receptor I	4	47353258	47414926	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:98754	Timp3	tissue inhibitor of metalloproteinase 3	10	86136276	86185369	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1346060	Tlr2	toll-like receptor 2	3	83743579	83749045	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1861735	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	1	50951946	51226429	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1341090	Tnfrsf10b	tumor necrosis factor receptor superfamily, member 10b	14	70004921	70021860	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:1344332	Wif1	Wnt inhibitory factor 1	10	120869909	120936547	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:98973	Xdh	xanthine dehydrogenase	17	74190890	74257191	GRCm39	-	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
protein coding gene	MGI:99137	Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1	7	24246124	24272863	GRCm39	+	Disease Ortholog	urinary bladder cancer (synonym: bladder cancer)	3
